slug,titel,categorie,datum,woorden,noindex,yoast_title,metadesc,in_live_urls
adem-en-ademvocaalruimtes-voor-zangers,"Door te werken vanuit de ERVAARBARE ADEM (methode van Ilse Middendorf) kun je leren om volledig, gelijkmatig en ruimer t",Zangles,"Sun, 07 Sep 2014 15:32:55 +0200",603,1,%%title%%,"Door te werken vanuit de ERVAARBARE ADEM (methode van Ilse Middendorf) kun je leren om volledig, gelijkmatig en ruimer te ademen.",ja
flageoletten-spelen-op-de-gitaar,"Wanneer je een snaarinstrument zoals de akoestische gitaar bespeelt, kun je boventonen spelen door middel van het dempen",Gitaarles,"Tue, 10 Feb 2015 14:07:57 +0100",380,1,%%title%%,"Flageoletten spelen op de gitaar, Wanneer je een gitaar bespeelt, kun je boventonen spelen door middel van het dempen van een snaar op een zeer lichte plek.",ja
stembereik-voor-zangers,Stembereik vergroten,Zangles,"Mon, 02 Mar 2015 15:11:12 +0100",579,1,%%title%%,"Als zanger is het handig om te weten wat je stembereik is. Hoe hoog en hoe laag kun je zingen? Op welke tonen kun je krachtig zingen, en welke nog niet?",ja
strumming-patterns-voor-gitaristen,Zware en lichte maatdelen,Gitaarles,"Wed, 09 Sep 2015 11:53:10 +0200",359,1,%%title%%,"Als gitarist is het belangrijk dat je een duidelijk, constant ritme kunt spelen en niet alles even hard speelt. Met strumming patterns kun je goed oefenen.",ja
in-het-ritme-leren-spelen-voor-pianisten,"Als je wilt piano leren spelen , moet je veel dingen tegelijk leren. Je leert noten lezen, je vingers afzonderlijk van e",Pianoles,"Thu, 24 Sep 2015 19:53:27 +0200",307,1,%%title%%,"In het ritme leren spelen voor pianisten, Als je piano leert spelen, moet je veel dingen tegelijk leren. Je leert noten lezen, een juiste houding etc etc",ja
noten-en-akkoorden-op-de-gitaar,Wanneer je de gitaarsnaren van boven naar onder open (zonder dat je deze af dempt) dan heb je op een rij:,Gitaarles,"Tue, 10 Nov 2015 13:17:46 +0100",675,1,%%title%%,"Noten en akkoorden leren op de gitaar, hier vind je een duidelijke uitleg over de noten en akkoorden met het gebruik van een capo.",ja
boventonen-leren-zingen,Wat zijn boventonen?,Zangles,"Thu, 26 Nov 2015 17:02:55 +0100",1759,1,%%title%% en boventoon technieken,"Boventonen hebben frequenties die veelvouden zijn van de frequentie van een grondtoon. De boventonen vormen een vaste reeks, afhankelijk van de grondtoon.",ja
simpele-popliedjes-om-je-zang-mee-te-oefenen,"Wanneer je goed wilt leren zingen, ga je natuurlijk zanglessen volgen. Maar zoals voor alles, geldt ook voor goed leren ",Zangles,"Mon, 10 Feb 2020 11:25:13 +0100",837,1,%%title%% | Onlinemuziekcursus.nl,"Zoek je simpele popliedjes om je zang mee te oefenen? Bekijk dan eens deze lijst. Ze zijn leuk, toegankelijk en bieden je voldoende uitdaging om beter te leren zingen.",ja
altijd-al-ukelele-willen-leren-spelen-start-vandaag-nog,"Wanneer je op zoek gaat naar een (nieuw) instrument om te leren bespelen, kom je al snel bij enkele geijkte favorieten u",Ukelele,"Mon, 10 Feb 2020 11:48:58 +0100",622,1,%%title%%,Heb je altijd al ukelele willen spelen? Dit is het moment. Dit betaalbare instrument brengt je gegarandeerd veel plezier. In alle opzichten is de ukelele zeer toegankelijk.,ja
zorg-goed-voor-je-stembanden-met-de-tips,"Iedereen die een instrument bespeelt en zingt, zal beamen: je stem is je belangrijkste instrument. Schade aan je stem la",Zangles,"Fri, 14 Feb 2020 10:26:48 +0100",751,1,%%title%% | OnlineMuziekCursus.nl,"Zorg goed voor je stembanden met deze tips. Je hebt maar een stem, dus wees daar zuinig op. Met deze tips houd je jouw stem in optimale conditie.",ja
gigbag-of-koffer-onmisbaar-als-je-op-stap-gaat,Het mooie aan gitaarspelen is dat je bijna altijd kunt kiezen waar en wanneer je dit doet. Het is een mobiel instrument.,Gitaarles,"Mon, 02 Mar 2020 15:04:47 +0100",889,1,%%title%% | OnlineMuziekCursus.nl,Een gigbag of koffer: onmisbaar als je op stap gaat met je gitaar. Lees hier over de mogelijkheden en de punten waar je op moet letten bij aanschaf.,ja
keyboard-op-de-computer-spelen,Piano spelen is heerlijk. Het heeft alleen een beperking: je kunt je piano niet overal mee naartoe nemen. Zelfs een keyb,Pianoles,"Tue, 10 Mar 2020 13:13:45 +0100",644,1,%%title%% | OnlineMuziekCursus.nl,Keyboard op de computer spelen kan een uitstekende manier zijn om piano te leren spelen. Kijk hier waar je dit gratis kunt doen.,ja
aandachtspunten-voor-het-kopen-van-een-akoestische-piano,"Ga je een piano kopen, dan sta je op het punt om een significante uitgave te doen. Want zelfs een gebruikte piano aansch",Pianoles,"Tue, 17 Mar 2020 11:41:39 +0100",896,1,%%title%%...,"Wat zijn aandachtspunten voor het kopen van een akoestische piano? Wij bespreken de belangrijkste punten met je, zodat je zeker een goede aankoop doet.",ja
hoe-maak-je-je-piano-schoon,Je piano vertegenwoordigt een behoorlijke waarde. Zowel in financiële als in emotionele zin. Je hebt een behoorlijke inv,Pianoles,"Fri, 20 Mar 2020 09:46:16 +0100",691,1,%%title%% | OnlineMuziekCursus.nl,Hoe maak je je piano schoon? Wij vertellen je graag wat je het beste wel en niet kunt doen om je piano goed schoon te maken en langer mee te laten gaan.,ja
een-stemapparaatje-een-onmisbaar-hulpmiddel,Je wilt natuurlijk zoveel mogelijk van je gitaar genieten. Heerlijk spelen wanneer je maar wilt. Misschien vind je het o,Gitaarles,"Sun, 29 Mar 2020 09:59:11 +0200",1023,1,%%title%% | OnlineMuziekCursus.nl,Een stemapparaatje is een onmisbaar hulpmiddel omdat dit ervoor zorgt dat je gitaar te allen tijde juist gestemd is en je dus zuiver gitaar kunt spelen.,ja
gitaarsteun-kan-handig-zijn-om-te-hebben,Een gitaarsteun kan handig zijn om te hebben. Sterker nog: voor veel mensen is dit een absolute must. Gitaar spelen kan ,Gitaarles,"Mon, 13 Apr 2020 12:52:06 +0200",1125,1,%%title%% | OnlineMuziekCursus.nl,"Een gitaarsteun kan handig zijn om te hebben, want deze zorgt ervoor dat je speelt met een betere houding. Investeer dan ook zeker in een gitaarsteun.",ja
tips-om-gitaarschade-te-voorkomen,"Je gitaar is natuurlijk een belangrijk en waardevol bezit. Op emotioneel gebied omdat je natuurlijk graag speelt, maar o",Gitaarles,"Mon, 04 May 2020 07:56:00 +0200",1148,1,%%title%% | OnlineMuziekCursus.nl,Wij hebben belangrijke tips om gitaarschade te voorkomen. Zowel qua gebruik als qua opbergen. Houd je gitaar goed onderhouden en schadevrij om maximaal van je instrument te blijven genieten.,ja
simpele-popliedjes-om-op-de-piano-mee-te-spelen,Piano spelen is heerlijk. Iedereen heeft zo zijn of haar eigen favoriet om mee te spelen. Vrij vaak is pianomuziek klass,Pianoles,"Thu, 28 May 2020 08:04:46 +0200",799,1,%%title%% | OnlineMuziekCursus.nl,Ben je op zoek naar simpele popliedjes om op de piano mee te spelen? Wij hebben enkele suggesties. Probeer deze popliedjes en ontwikkel je vaardigheden.,ja
voordelen-online-muziekcursus-beginners,"Wil je graag muziek leren maken, maar zie je het niet zitten om naar een muziekschool te gaan of wekelijks fysiek les te",Muziekles,"Fri, 18 Jul 2025 12:31:00 +0200",609,1,Ontdek de voordelen van online muziekles voor beginners,"Leer muziek maken vanuit huis! Ontdek hoe online muziekcursussen flexibiliteit, kwaliteit en plezier bieden – perfect voor elke beginnende muzikant.",ja
